Station,Section,Url,Page Range,Text Identifier,Status
93B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,415-416,Station 93 to 93C,exists
93C,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,415-416,Station 93 to 93C,exists
93D,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,416-430,Stations 93D to 94,exists
93E,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,416-430,Stations 93D to 94,exists
93F,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,416-430,Stations 93D to 94,exists
93G,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,416-430,Stations 93D to 94,exists
94,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,416-430,Stations 93D to 94,exists
95,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,430-431,Station 95,exists
96,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,431-434,Station 96,exists
97,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,434-435,Station 97,exists
98,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,435-437,Station 98,exists
99,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,437-438,Station 99,exists
100,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,438-439,Station 100,exists
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
109A,,,,,
109B,,,,,
109C,,,,,
109D,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
113A,,,,,
113B,,,,,
113C,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
117A,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
122A,,,,,
122B,,,,,
122C,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
126A,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
135A,,,,,
135B,,,,,
135C,,,,,
135D,,,,,
135E,,,,,
135F,,,,,
135G,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
144A,,,,,
145,,,,,
145A,,,,,
146,,,,,
147,,,,,
147A,,,,,
148,,,,,
148A,,,,,
149,,,,,
149A,,,,,
149B,,,,,
149C,,,,,
149D,,,,,
149E,,,,,
149F,,,,,
149G,,,,,
149H,,,,,
149J,,,,,
149K,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
163A,,,,,
163B,,,,,
163C,,,,,
163D,,,,,
163E,,,,,
163F,,,,,
164,,,,,
164A,,,,,
164B,,,,,
164C,,,,,
164D,,,,,
164E,,,,,
165,,,,,
165A,,,,,
165B,,,,,
165C,,,,,
166,,,,,
166A,,,,,
166B,,,,,
166C,,,,,
167,,,,,
167A,,,,,
168,,,,,
169,,,,,
170,,,,,
170A,,,,,
171,,,,,
171A,,,,,
172,,,,,
172A,,,,,
173,,,,,
173A,,,,,
174,,,,,
174A,,,,,
174B,,,,,
174C,,,,,
174D,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
185A,,,,,
185B,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
191A,,,,,
192,,,,,
193,,,,,
194,,,,,
194A,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
204A,,,,,
204B,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
210A,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
216A,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
233A,,,,,
233B,,,,,
233C,,,,,
234,,,,,
235,,,,,
236,,,,,
236A,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
279A,,,,,
279B,,,,,
279C,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
305A,,,,,
305B,,,,,
306,,,,,
306A,,,,,
307,,,,,
308,,,,,
309,,,,,
309A,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
314A,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
